######################################################################
#
# 	CONDITIONS OF USE
# ____________________________________________________________________
# 
# 
# The files are freely available for download and use on the condition 
# that APNIC will not be held responsible for any loss or damage 
# arising from the use of the information contained in these reports.
# 
# APNIC endeavours to the best of its ability to ensure the accuracy 
# of these reports; however, APNIC makes no guarantee in this regard.
# 
# In particular, it should be noted that these reports seek to 
# indicate where resources were first allocated or assigned. It is not
# intended that these reports be considered as an authoritative 
# statement of the location in which any specific resource may 
# currently be in use.
# 
# For more information see: 
#
#       http://www.apnic.net/db/rir-stats-format.html
# or
#	ftp://ftp.apnic.net/pub/apnic/stats/apnic/README.TXT
#
######################################################################
#
2|apnic|20130507|623|20020116|20130502|+1000
apnic|*|ipv6|*|623|summary
apnic|HK|ipv6|2001:7fa:0:1::|64|20020116
apnic|KR|ipv6|2001:7fa:0:2::|64|20020117
apnic|JP|ipv6|2001:7fa:0:3::|64|20020226
apnic|TW|ipv6|2001:7fa:1::|48|20021023
apnic|ID|ipv6|2001:7fa:2::|48|20030304
apnic|NZ|ipv6|2001:7fa:3::|48|20030723
apnic|NZ|ipv6|2001:7fa:4::|48|20030723
apnic|CN|ipv6|2001:7fa:5::|48|20031106
apnic|VN|ipv6|2001:7fa:6::|48|20041027
apnic|JP|ipv6|2001:7fa:7::|48|20050526
apnic|KR|ipv6|2001:7fa:8::|48|20050829
apnic|AU|ipv6|2001:7fa:9::|48|20050920
apnic|AU|ipv6|2001:7fa:a::|48|20050921
apnic|AU|ipv6|2001:7fa:b::|48|20050922
apnic|AU|ipv6|2001:7fa:c::|48|20050922
apnic|AU|ipv6|2001:7fa:d::|48|20050922
apnic|AU|ipv6|2001:7fa:e::|48|20050922
apnic|ID|ipv6|2001:7fa:f::|48|20050929
apnic|CN|ipv6|2001:7fa:10::|48|20060531
apnic|AU|ipv6|2001:7fa:11::|48|20061031
apnic|AU|ipv6|2001:dc0::|32|20030124
apnic|TW|ipv6|2001:dc1::|32|20030331
apnic|JP|ipv6|2001:dc2::|32|20030529
apnic|JP|ipv6|2001:dc3::|32|20030619
apnic|JP|ipv6|2001:dc4::|32|20031117
apnic|KR|ipv6|2001:dc5::|32|20031212
apnic|ID|ipv6|2001:dc6::|32|20040427
apnic|VN|ipv6|2001:dc8::|32|20041027
apnic|JP|ipv6|2001:dc9::|32|20041108
apnic|HK|ipv6|2001:dca::|32|20041210
apnic|KR|ipv6|2001:dcc::|32|20050427
apnic|AU|ipv6|2001:dcd::|32|20051108
apnic|NZ|ipv6|2001:dce::|32|20060619
